"","player_name","goals_scored","assists","minutes","position_index","clean_sheets","total_points","fpl_to_game"
"1","Alisson",0,1,2363,1,13,119,4.53237410071942
"2","Bravo",0,0,347,1,1,11,2.85302593659942
"3","de Gea",0,0,3240,1,12,134,3.72222222222222
"4","Caballero",0,0,360,1,0,7,1.75
"5","Gunn",0,0,900,1,5,29,2.9
"6","Pope",0,0,3330,1,15,169,4.56756756756757
"7","van Dijk",4,1,3240,2,15,168,4.66666666666667
"8","Coady",0,0,3240,2,12,116,3.22222222222222
"9","Rico",0,3,2242,2,6,77,3.09099018733274
"10","Cahill",0,1,2167,2,7,70,2.90724503922473
"11","Pogba",1,3,1024,3,5,47,4.130859375
"12","Keita",1,3,666,3,9,43,5.81081081081081
"13","Jorginho",4,2,2202,3,5,87,3.5558583106267
"14","Winks",0,0,2131,3,7,50,2.11168465509151
"15","Grealish",7,6,3053,4,6,135,3.97969210612512
"16","Sterling",17,1,2498,4,10,179,6.44915932746197
"17","Pepe",5,6,1908,4,7,103,4.85849056603774
"18","Salah",19,9,2779,4,13,227,7.35156531126304
"19","Richarlison",12,3,2890,5,8,156,4.85813148788927
"20","Firmino",8,7,2875,5,15,143,4.47652173913044
"21","Solanke",2,1,1588,5,3,63,3.57052896725441
"22","Vardy",23,5,2943,5,12,209,6.3914373088685
