"","player_name","club_name","position","position_index","goals_scored","assists","ict_index","goals_conceded","minutes","own_goals","total_points","bps","bonus","clean_sheets","GW","season"
"1","Aaron Lennon","Everton FC","Right Winger",4,0,0,0.9,0,15,0,1,6,0,0,2,"2016/2017"
"2","Aaron Ramsey","Arsenal FC","Central Midfield",3,0,0,3,3,60,0,2,5,0,0,2,"2016/2017"
"3","Abel Hernández","Hull City","Centre-Forward",5,0,1,5.7,1,90,0,11,10,0,0,2,"2016/2017"
"4","Adama Diomande","Hull City","Centre-Forward",5,1,0,10.7,1,90,0,10,29,2,0,2,"2016/2017"
"5","Adam Clayton","Middlesbrough FC","Defensive Midfield",3,0,0,1.4,1,90,0,3,6,0,0,2,"2016/2017"
"6","Adam Forshaw","Middlesbrough FC","Central Midfield",3,0,0,0.3,1,69,0,3,3,0,0,2,"2016/2017"
"7","Adam Lallana","Liverpool FC","Attacking Midfield",4,1,1,14.2,3,75,0,13,33,2,0,2,"2016/2017"
"8","Adam Smith","AFC Bournemouth","Right-Back",2,1,0,7.4,3,90,0,9,23,0,0,2,"2016/2017"
"9","Adlène Guédioura","Watford FC","Central Midfield",3,0,0,2.2,1,72,0,6,7,0,0,2,"2016/2017"
"10","Adnan Januzaj","Manchester United","Right Winger",4,0,0,0.4,1,27,0,3,4,0,0,2,"2016/2017"
"11","Ahmed Elmohamady","Hull City","Right-Back",2,0,0,2.5,1,90,0,5,14,0,0,2,"2016/2017"
"12","Ahmed Musa","Leicester City","Centre-Forward",5,0,0,5.9,2,90,0,3,9,0,0,2,"2016/2017"
"13","Alberto Moreno","Liverpool FC","Left-Back",2,0,0,2.3,3,90,0,1,5,0,0,2,"2016/2017"
"14","Albert Adomah","Middlesbrough FC","Right Winger",4,0,0,5.1,1,90,0,3,2,0,0,2,"2016/2017"
"15","Aleksandar Kolarov","Manchester City","Left-Back",2,0,0,3.8,1,90,0,3,16,0,0,2,"2016/2017"
"16","Alexis Sánchez","Arsenal FC","Left Winger",4,0,0,3.5,4,90,0,5,0,0,0,2,"2016/2017"
"17","Alex Iwobi","Arsenal FC","Left Winger",4,0,1,3.4,3,58,0,3,12,0,0,2,"2016/2017"
"18","Alex Oxlade-Chamberlain","Arsenal FC","Central Midfield",3,1,0,6.5,1,32,0,9,23,0,0,2,"2016/2017"
"19","Ander Herrera","Manchester United","Central Midfield",3,0,0,2.3,1,90,0,2,11,0,0,2,"2016/2017"
