,player_name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,position,date_of_birth,age,nationality,club_name,league_name,season,year,position_index
1,Aaron Cresswell,0,0,7,0,1.5,376,8,5,0,1.1,9,2019-08-10T11:30:00Z,90,11,0,0,0,0,1,0,23399,5,0,0,0,0,0,0,50,TRUE,0,1,Left-Back,12/15/1989,29,England,West Ham United,Premier League,2019/2020,2019,2
2,Aaron Lennon,0,0,3,0,0,430,3,0,0,0.2,2,2019-08-10T14:00:00Z,6,16,0,0,0,0,1,0,8105,0,3,0,1,0,0,0,50,TRUE,0,1,Right Winger,4/16/1987,32,England,Burnley FC,Premier League,2019/2020,2019,4
3,Aaron Mooy,0,0,0,0,0,516,7,0,0,0,0,2019-08-10T14:00:00Z,0,18,0,0,0,0,1,0,16261,3,0,0,0,0,0,0,50,FALSE,0,1,Central Midfield,9/15/1990,28,Australia,Brighton & Hove Albion,Premier League,2019/2020,2019,3
4,Aaron Ramsdale,0,0,11,0,0,494,2,1,0,1,9.8,2019-08-10T14:00:00Z,90,15,0,0,0,0,1,2,3091,1,1,0,2,0,0,0,45,TRUE,0,1,Goalkeeper,5/14/1998,21,England,AFC Bournemouth,Premier League,2019/2020,2019,1
5,Aaron Wan-Bissaka,0,2,34,1,16.1,122,9,0,0,4.9,30.4,2019-08-11T15:30:00Z,90,6,0,0,0,0,1,0,1879259,0,4,2,8,0,0,0,55,TRUE,0,1,Right-Back,11/26/1997,21,England,Manchester United,Premier League,2019/2020,2019,2
6,Abdoulaye Doucouré,0,0,7,0,23.1,368,7,3,0,3,4.4,2019-08-10T14:00:00Z,90,4,1,0,0,0,1,0,200815,3,0,2,0,0,0,0,60,TRUE,0,1,Central Midfield,1/1/1993,26,France,Watford FC,Premier League,2019/2020,2019,3
7,Adama Traoré,0,0,0,0,0,417,5,0,0,0,0,2019-08-11T13:00:00Z,0,9,0,0,0,0,1,0,17995,0,0,0,0,0,0,0,50,FALSE,0,1,Right Winger,1/25/1996,23,Spain,Wolverhampton Wanderers,Premier League,2019/2020,2019,4
8,Adam Lallana,0,0,0,0,0,195,1,0,0,0,0,2019-08-09T19:00:00Z,0,14,0,0,0,0,1,0,7143,1,4,0,0,0,0,0,60,TRUE,0,1,Attacking Midfield,5/10/1988,31,England,Liverpool FC,Premier League,2019/2020,2019,4
9,Adam Masina,0,0,0,0,0,355,7,0,0,0,0,2019-08-10T14:00:00Z,0,4,0,0,0,0,1,0,4687,3,0,0,0,0,0,0,45,TRUE,0,1,Left-Back,1/2/1994,25,Italy,Watford FC,Premier League,2019/2020,2019,2
10,Adam Smith,0,0,10,0,7,63,2,1,0,1.4,3.4,2019-08-10T14:00:00Z,90,15,0,0,0,0,1,0,90570,1,1,4,1,0,0,0,45,TRUE,1,1,Right-Back,4/29/1991,28,England,AFC Bournemouth,Premier League,2019/2020,2019,2
11,Adam Webster,0,0,0,0,0,493,7,0,0,0,0,2019-08-10T14:00:00Z,0,18,0,0,0,0,1,0,5861,3,0,0,0,0,0,0,45,FALSE,0,1,Centre-Back,1/4/1995,24,England,Brighton & Hove Albion,Premier League,2019/2020,2019,2
12,Adrian Mariappa,0,0,0,0,0,356,7,0,0,0,0,2019-08-10T14:00:00Z,0,4,0,0,0,0,1,0,15852,3,0,0,0,0,0,0,45,TRUE,0,1,Centre-Back,10/3/1986,32,Jamaica,Watford FC,Premier League,2019/2020,2019,2
13,Ainsley Maitland-Niles,1,3,38,1,12.3,4,10,0,0,5.1,38.4,2019-08-11T13:00:00Z,90,13,0,0,0,0,1,0,57131,1,0,0,12,0,0,0,50,FALSE,0,1,Right Midfield,8/29/1997,21,England,Arsenal FC,Premier League,2019/2020,2019,3
14,Albian Ajeti,0,0,0,0,0,514,8,0,0,0,0,2019-08-10T11:30:00Z,0,11,0,0,0,0,1,0,3165,5,0,0,0,0,0,0,60,TRUE,0,1,Centre-Forward,2/26/1997,22,Switzerland,West Ham United,Premier League,2019/2020,2019,5
15,Alexander Tettey,0,0,0,0,0,289,1,0,0,0,0,2019-08-09T19:00:00Z,0,10,0,0,0,0,1,0,10849,1,4,0,0,0,0,0,45,FALSE,0,1,Defensive Midfield,4/4/1986,33,Norway,Norwich City,Premier League,2019/2020,2019,3
16,Alexandre Lacazette,0,0,0,0,0,12,10,0,0,0,0,2019-08-11T13:00:00Z,0,13,0,0,0,0,1,0,193916,1,0,0,0,0,0,0,95,FALSE,0,1,Centre-Forward,5/28/1991,28,France,Arsenal FC,Premier League,2019/2020,2019,5
17,Alex Iwobi,0,0,0,0,0,17,4,0,0,0,0,2019-08-10T14:00:00Z,0,7,0,0,0,0,1,0,128875,0,0,0,0,0,0,0,60,FALSE,0,1,Left Winger,5/3/1996,23,Nigeria,Everton FC,Premier League,2019/2020,2019,4
18,Alex McCarthy,0,0,0,0,0,318,3,0,0,0,0,2019-08-10T14:00:00Z,0,5,0,0,0,0,1,0,45934,0,3,0,0,0,0,0,45,FALSE,0,1,Goalkeeper,12/3/1989,29,England,Southampton FC,Premier League,2019/2020,2019,1
