,GW,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,fpl_pred
0,45,Sullay Kaikai,0,0,37,4,0,2,4.485401168885758
1,49,Stefano Okaka,5,0,1022,5,2,51,54.80107506498058
2,12,Stuart Armstrong,0,0,224,3,1,10,7.118246923484829
3,43,Sadio Mané,16,7,2531,4,10,176,196.8965699902852
4,51,José Holebas,2,7,3809,2,9,117,126.19028431357535
5,38,Kepa Arrizabalaga,0,0,3240,1,14,142,146.81111579685827
6,22,Karl Darlow,0,0,540,1,2,25,21.15772050258828
7,46,James McCarthy,1,1,613,3,0,23,24.550570887440244
8,33,David Silva,2,9,2452,4,9,108,113.24749206189182
9,26,Matt Targett,0,0,283,2,0,6,3.6594306444894222
10,18,Luka Milivojevic,2,0,1402,3,5,46,52.485681857595246
11,87,Ainsley Maitland-Niles,1,0,1341,3,3,44,39.90578493045655
12,99,Christian Eriksen,23,38,7797,4,37,506,512.8658935007068
13,33,Henrikh Mkhitaryan,4,1,1157,4,9,66,57.25152141223529
14,18,James Maddison,5,3,1307,4,5,74,79.78624944425887
15,6,Jonas Olsson,0,0,180,2,1,6,6.498081199155887
16,34,Dean Marney,1,2,1764,3,5,51,60.391413090556114
17,52,Andy Carroll,7,2,1851,5,6,77,96.0408912715757
18,45,Willy Caballero,0,0,270,1,1,11,9.29289365994438
19,35,Scott McTominay,0,0,526,3,3,16,17.198201922441108
20,31,Phil Bardsley,0,0,1168,2,3,27,34.818983528761315
21,34,Henri Saivet,1,0,83,4,0,8,12.078708468172621
22,8,Scott Dann,2,0,450,2,0,22,16.02448521329629
23,49,Junior Stanislas,8,7,1870,4,5,128,128.04861218829646
24,97,Andrew Surman,2,6,4549,3,11,149,132.94920589706496
25,47,Emre Can,5,4,2969,3,11,123,131.1250276845515
26,99,Dan Gosling,4,2,4233,3,7,133,132.14386560350223
27,39,Leonardo Ulloa,1,0,447,5,2,24,19.658283257774315
28,69,Paul Pogba,8,16,4252,3,22,218,219.19444023216167
29,55,Alfie Mawson,5,0,4230,2,13,155,163.51574786729415
30,74,Calum Chambers,2,1,3114,2,9,106,109.55256459534692
31,20,Scott McTominay,0,0,97,3,1,3,3.833694640986054
32,56,Jonathan Leko,0,1,118,4,0,12,10.581922343224967
33,36,Tom Ince,2,1,2390,4,7,80,68.97926679355807
34,93,Jerome Sinclair,0,0,145,5,0,10,9.138260039403647
35,52,Romelu Lukaku,21,8,3842,5,16,215,246.86744890968654
36,47,Benik Afobe,6,6,1725,5,5,100,99.6944824979224
37,24,Bernd Leno,0,0,1572,1,2,49,39.61331626019022
38,9,Chris Mepham,0,0,551,2,1,14,13.893283572104842
39,19,Jay Fulton,0,0,555,3,2,13,16.37248893847291
40,11,Hal Robson-Kanu,0,1,73,4,0,12,9.24552839466233
41,13,Lukasz Fabianski,0,0,1170,1,2,41,32.84824327915351
42,43,Abdoulaye Doucouré,3,0,1802,3,7,65,71.03814547021749
43,66,Miguel Britos,2,2,2984,2,8,91,103.84964757839137
44,79,James McCarthy,1,1,817,3,0,29,28.808125108485328
45,28,Fernando Llorente,11,2,1823,5,3,105,103.22541987209038
46,11,Christian Kabasele,0,0,61,2,0,2,-0.8821558983826714
47,10,Idrissa Gueye,0,1,882,3,3,22,29.11963785227745
48,66,Willian Borges Da Silva,13,10,2855,4,15,219,193.9890286511197
49,48,Karl Darlow,0,0,900,1,2,33,28.092689135088285
50,35,Anthony Knockaert,3,1,2145,4,10,81,70.52999440351425
51,68,Joel Ward,0,2,4721,2,9,114,110.60309233746804
52,61,Kieran Trippier,0,9,1741,2,8,118,111.53751718308689
53,37,Phil Bardsley,0,0,1168,2,3,27,34.818983528761315
54,8,Sergio Agüero,5,0,474,5,0,38,38.37739238589157
55,55,Sofiane Boufal,3,2,1896,4,3,79,75.12737527093553
56,5,Enner Valencia,0,1,236,5,1,9,14.370092205539923
57,23,Lucas Digne,3,3,1789,2,5,86,78.25830094261009
58,54,N'Golo Kanté,2,2,4294,3,19,128,137.35441235692153
59,14,Jacob Murphy,0,0,326,4,0,12,12.305970192825527
60,29,Connor Goldson,0,0,180,2,1,5,6.498081199155887
61,31,Cyrus Christie,0,0,1510,2,2,28,33.86759098573646
62,7,Kadeem Harris,1,0,36,3,0,8,6.885298332748015
63,5,Rob Holding,0,0,270,2,1,7,8.408070818388595
64,20,Adam Smith,1,3,1571,2,4,53,59.64792349474614
65,17,Christopher Schindler,0,2,1406,2,5,50,55.59655435701635
66,12,Craig Gardner,0,1,204,3,1,13,10.261781896492533
67,69,Gabriel Fernando de Jesus,19,9,2542,5,10,193,189.18605246957847
68,31,Nicolás Otamendi,0,2,1962,2,5,64,62.34090109184115
69,40,Tom Carroll,1,2,1569,3,6,57,59.19172819774374
70,36,Tammy Abraham,5,3,1654,5,4,84,82.38426434931802
71,52,Mohamed Salah,39,16,4095,4,24,389,426.3633937245638
72,36,Yoshinori Muto,1,0,489,5,1,22,21.63508004864127
73,33,Michael Keane,2,1,2970,2,9,104,108.38459965278167
74,10,Viktor Fischer,0,1,137,4,0,8,11.139110868343643
75,7,Harry Winks,0,0,6,3,0,2,0.19157701916058834
76,22,Gylfi Sigurdsson,6,6,1887,4,2,101,110.94820326574367
77,40,Wayne Routledge,3,2,2025,4,6,78,76.80124374520253
78,14,Lee Peltier,0,0,160,2,0,1,1.2000603942857895
79,89,Luka Milivojevic,24,4,7543,3,25,349,341.75525800906485
80,56,Ashley Westwood,0,1,1926,3,4,55,48.33403622199204
81,6,Jesús Navas,0,1,110,2,0,7,3.282808132275841
82,16,Adam Clayton,0,0,1081,3,4,25,30.364674230322763
83,83,Ryan Bertrand,3,10,6272,2,22,248,272.0925193277442
84,22,James McArthur,5,2,1408,3,1,70,68.68085246262743
85,89,Ashley Young,2,9,4014,2,14,143,180.73096212503398
86,36,Federico Fernández,0,1,2250,2,5,56,61.895598775655884
87,10,Jordon Ibe,0,0,620,4,3,19,15.38790071097175
88,76,David Ospina,0,0,523,1,2,21,20.812622046451246
89,113,Gary Cahill,6,0,5400,2,26,254,249.47994110517604
90,6,James Husband,0,0,58,2,0,0,-0.9466716632449943
91,98,Joshua King,29,9,6749,5,21,359,356.04359416773536
92,26,Yannick Bolasie,1,4,1048,4,3,45,51.815702702056086
93,14,Philip Billing,0,0,420,3,3,12,14.71985055382261
94,25,Abdoulaye Doucouré,0,0,418,3,1,11,11.805205844354775
95,32,Phil Bardsley,0,0,1168,2,3,27,34.818983528761315
96,22,Will Keane,0,0,280,5,1,8,11.360526197422772
97,27,Simon Mignolet,0,0,1530,1,4,64,53.73743433522996
98,21,James Tarkowski,0,0,122,2,0,7,0.41162292839698544
99,36,Bakary Sako,0,0,112,4,0,6,6.601626124758184
100,27,Leroy Sané,3,3,930,4,4,56,57.09515149929304
101,70,Scott Dann,4,1,3186,2,3,93,118.97329489081022
102,8,George Boyd,0,0,710,3,2,18,19.7120825776846
103,42,Matteo Darmian,0,0,1423,2,9,71,68.81710717053045
104,25,Jerome Sinclair,0,0,116,5,0,6,8.492775050464516
105,15,Rudy Gestede,1,0,453,5,1,19,20.795128292597354
106,33,Craig Dawson,3,0,2826,2,6,90,95.59119817601517
107,107,Ander Herrera,3,11,4992,3,23,201,195.27580773207384
108,36,Steven Pienaar,0,0,802,4,2,15,20.96881019926843
109,16,Joe Bryan,0,0,418,2,0,6,6.198955530256477
110,27,Victor Lindelöf,0,0,743,2,3,27,27.540813333781053
111,10,Sam Byram,0,0,264,2,1,7,8.28297017503796
112,28,Paul Robinson,0,0,270,1,0,5,2.1625270411861095
113,10,Paul Dummett,0,0,7,2,0,1,-2.055997402100054
114,72,Ben Davies,3,10,3882,2,18,221,202.5809615462069
115,33,Axel Tuanzebe,0,0,304,2,2,15,13.860386181444511
116,14,Joleon Lescott,0,0,34,2,0,1,-1.4657636790160966
117,46,Jordan Pickford,0,0,4140,1,11,165,148.955525840038
118,77,Mesut Özil,12,20,5092,4,20,281,274.64351093373784
119,34,Jack Wilshere,0,3,1950,3,5,61,61.12051442096448
120,77,Martin Kelly,0,2,3317,2,6,80,77.65769326765908
121,47,Scott McTominay,0,0,740,3,5,25,25.260173431921828
122,19,Danny Ings,7,1,1015,5,3,67,65.81639281416783
123,59,Robert Snodgrass,7,6,2548,4,3,133,132.65705459444897
124,110,John Stones,0,0,5068,2,22,210,195.32787488471942
125,32,Isaac Mbenza,0,1,586,4,0,24,23.12242253256163
126,46,Benjamin Mendy,0,6,810,2,4,57,60.23187146459732
127,39,Karl Darlow,0,0,900,1,2,33,28.092689135088285
128,62,Wilfried Zaha,11,14,4625,4,13,217,230.47354680041096
129,21,Francis Coquelin,0,1,1191,3,3,34,35.13930582142525
130,28,Abdelhamid Sabiri,0,1,217,4,1,10,12.070990194892259
131,69,Mousa Dembélé,1,2,3691,3,17,121,114.30416871369718
132,34,Jesse Lingard,1,2,1225,4,7,53,42.357433571424735
133,38,Victor Moses,3,3,2485,4,17,105,90.84848504664868
134,89,Toby Alderweireld,1,0,4848,2,24,205,202.6518632511904
