,player_name,goals_scored,assists,minutes,position_index,clean_sheets,total_points,ict,ict_pred
0,Leroy Fer,7,3,3674,3,8,135,177.1,201.1872545221311
1,Roberto Pereyra,13,10,5103,3,10,238,321.1,358.15563458558466
2,Lukasz Fabianski,0,0,3240,1,7,116,75.9,82.64824153006498
3,Marko Grujic,0,0,30,3,0,2,2.9,1.8776146895127228
4,Wes Morgan,1,1,3780,2,9,102,120.6,121.61209110725873
5,Ciaran Clark,3,1,2242,2,5,92,86.7,101.87815351017201
6,Memphis Depay,0,0,24,5,0,3,0.7,2.604776129054329
7,Loris Karius,0,0,900,1,3,32,15.0,22.283713651745558
8,Morgan Gibbs-White,0,1,197,3,0,13,8.9,12.190711725194134
9,Andrew Robertson,0,0,692,2,1,14,18.3,21.056014367828
10,Jorge Luiz Frello Filho,2,0,2463,3,12,79,114.1,113.89625212448108
11,Joel Ward,0,2,5131,2,11,129,160.4,165.48644977611437
12,Roberto Firmino,30,24,7178,5,40,438,792.7,812.8730477354825
13,Sam Byram,0,0,258,2,1,7,9.6,7.493889714542828
14,Jonjoe Kenny,0,3,1962,2,6,64,70.6,84.02985517660588
15,Michail Antonio,5,0,681,4,2,48,75.9,68.29938261944253
16,Zlatan Ibrahimovic,15,6,2250,5,10,151,303.1,246.83376179362276
17,Jonny Evans,2,1,2817,2,5,86,103.8,105.92297520870515
18,Sergio Romero,0,0,180,1,2,23,7.7,-6.091789725791951
19,Heurelho Gomes,0,0,5465,1,12,177,130.0,144.98197702807633
20,Nordin Amrabat,0,0,296,4,0,10,12.4,11.052821753443048
21,Sadio Mané,16,7,2531,4,10,178,284.5,290.4033435404004
22,Demarai Gray,1,4,1006,4,4,57,70.8,76.63436502314093
23,Danilo Luiz da Silva,4,2,1962,2,11,136,103.3,114.70791984007128
24,Danny Williams,0,0,368,3,0,9,9.7,11.423005095936542
25,Mark Noble,7,2,5781,3,18,183,229.7,270.3947157927419
26,Wahbi Khazri,0,0,466,4,1,15,28.6,17.812948712666575
27,Antonio Barragán,0,0,90,2,0,4,2.2,1.907595693344251
28,Orestis Karnezis,0,0,1021,1,3,44,22.6,26.992161283874495
29,Raheem Sterling,12,14,2896,4,12,199,295.4,322.23227923569306
30,Paul Pogba,4,3,1800,3,7,83,167.7,125.36545551285599
31,Ben Hamer,0,0,192,1,0,4,7.8,5.758335892876774
32,Georginio Wijnaldum,9,12,7682,3,41,322,408.6,471.61938652152236
33,Junior Stanislas,12,9,2752,4,6,182,253.1,259.3644213753065
34,Mark Noble,5,0,3529,3,11,121,145.1,155.89788731247856
35,Daley Blind,1,2,2101,2,12,117,123.0,93.29510805939242
36,Angelo Ogbonna,0,0,2115,2,4,47,59.6,58.6787163286649
37,Michel Vorm,0,0,506,1,2,20,8.8,9.94100406408861
38,Ramiro Funes Mori,0,1,1543,2,7,69,54.0,57.39572967626944
39,Lucas Pérez,0,0,64,5,0,4,4.1,4.0368589744763135
40,Tom Cleverley,1,5,3748,3,9,113,170.8,169.1591550170931
41,Charlie Austin,12,1,1530,5,7,115,167.4,158.88953659110314
42,Christopher Schindler,1,3,5534,2,13,163,180.5,194.51865338635378
43,Jonas Olsson,0,0,500,2,1,9,10.7,15.32412120255195
44,Harry Winks,1,0,128,3,0,13,11.7,13.651469966299242
45,Nemanja Matic,0,7,1995,3,12,80,90.7,136.34893270928808
46,Patrick van Aanholt,4,1,2223,2,5,90,135.3,111.22575213768975
47,Brendan Galloway,0,0,247,2,1,9,7.5,7.118720130500094
48,Andrew Surman,2,5,3379,3,8,115,125.8,167.00819101805337
49,Chris Brunt,3,3,1809,3,4,86,104.8,108.60477669176154
50,Laurent Koscielny,2,1,3355,2,13,144,134.5,129.68834282188325
51,Aaron Mooy,4,2,2146,3,7,87,141.4,125.62657343145904
52,Olivier Giroud,16,6,1761,5,7,164,242.3,222.58136105613636
53,Alexis Sánchez,18,10,2535,4,9,210,371.2,320.255495171963
54,Stefano Okaka,5,0,1042,5,2,54,98.2,75.0442621885233
55,Álvaro Arbeloa,0,0,258,2,0,0,7.3,7.630686964531305
56,Jordi Amat,0,0,630,2,1,11,23.2,19.243818735083487
