"","player_name","club_name","recent_GW","minutes","position_index","goals_scored","assists","clean_sheets","total_points"
"1","Aaron Connolly","Brighton & Hove Albion",12,441,5,1,1,1,23
"2","Aaron Cresswell","West Ham United",12,1080,2,0,4,4,53
"3","Aaron Ramsdale","Sheffield United",12,1080,1,0,0,0,28
"4","Aaron Wan-Bissaka","Manchester United",11,900,2,1,0,3,35
"5","Abdoulaye Doucouré","Everton FC",12,998,3,1,1,2,31
"6","Aboubakar Kamara","Fulham FC",12,249,4,0,0,0,4
"7","Adam Lallana","Brighton & Hove Albion",12,523,4,0,1,2,20
"8","Adam Webster","Brighton & Hove Albion",12,990,2,0,0,2,23
"9","Adama Traoré","Wolverhampton Wanderers",12,700,4,0,0,1,17
"10","Ademola Lookman","Fulham FC",9,738,4,2,2,1,35
"11","Adrián San Miguel del Castillo","Liverpool FC",12,180,1,0,0,0,2
"12","Ahmed El Mohamady","Aston Villa",10,35,2,0,0,0,3
"13","Ainsley Maitland-Niles","Arsenal FC",12,204,3,0,0,1,11
"14","Alex Iwobi","Everton FC",12,513,4,0,2,2,24
"15","Alex McCarthy","Southampton FC",12,1080,1,0,0,5,50
"16","Alex Nicolao Telles","Manchester United",8,263,2,0,1,1,12
"17","Alexandre Lacazette","Arsenal FC",12,643,5,3,0,2,30
"18","Alexis Mac Allister","Brighton & Hove Albion",12,61,4,1,0,0,12
"19","Alireza Jahanbakhsh","Brighton & Hove Albion",12,118,4,0,1,0,9
"20","Alisson Ramses Becker","Liverpool FC",12,810,1,0,0,2,35
"21","Allan Marques Loureiro","Everton FC",12,988,3,0,0,2,20
"22","Allan Saint-Maximin","Newcastle United",11,582,4,1,1,3,28
"23","Alphonse Areola","Fulham FC",12,990,1,0,0,1,30
"24","André-Frank Zambo Anguissa","Fulham FC",12,923,3,0,2,1,30
"25","André Filipe Tavares Gomes","Everton FC",12,453,3,0,0,2,14
"26","Andreas Christensen","Chelsea FC",12,315,2,0,0,0,2
"27","Andrew Robertson","Liverpool FC",12,1080,2,1,3,3,53
"28","Andriy Yarmolenko","West Ham United",12,97,4,0,0,0,4
"29","Andros Townsend","Crystal Palace",12,838,4,1,2,2,38
"30","Andy Carroll","Newcastle United",11,178,5,0,1,1,11
"31","Angelo Ogbonna","West Ham United",12,1052,2,2,0,4,49
"32","Anthony Gordon","Everton FC",12,32,4,0,0,0,1
"33","Anthony Martial","Manchester United",11,454,5,0,1,1,12
"34","Antonee Robinson","Fulham FC",12,810,2,0,0,1,19
"35","Antonio Rüdiger","Chelsea FC",12,90,2,0,0,1,6
"36","Anwar El Ghazi","Aston Villa",10,49,4,1,0,0,10
"37","Arthur Masuaku","West Ham United",12,850,2,0,1,4,37
"38","Ashley Barnes","Burnley FC",11,507,5,0,0,2,13
